frequency,real,imaginary,magnitude,impedance
5000.0,10.0,875.0,875.06,10525.25
7000.0,1.0,866.0,866.0,10557.05
9000.0,-56.0,875.0,876.79,10596.4
11000.0,-68.0,861.0,863.68,10624.56
13000.0,-112.0,957.0,963.53,9744.38
15000.0,-123.0,947.0,954.95,9730.17
17000.0,-149.0,954.0,965.57,9664.12
19000.0,-162.0,941.0,954.84,9664.81
21000.0,-189.0,952.0,970.58,9646.37
23000.0,-207.0,945.0,967.41,9612.54
25000.0,-226.0,940.0,966.79,9608.84
27000.0,-251.0,936.0,969.07,9594.72
29000.0,-265.0,938.0,974.71,9583.7
31000.0,-285.0,930.0,972.69,9612.69
33000.0,-303.0,930.0,978.12,9531.28
35000.0,-322.0,922.0,976.61,9521.17
37000.0,-346.0,915.0,978.23,9590.79
39000.0,-362.0,909.0,978.43,9534.6
41000.0,-379.0,905.0,981.16,9517.56
43000.0,-401.0,894.0,979.81,9581.25
45000.0,-415.0,891.0,982.91,9436.74
47000.0,-434.0,881.0,982.1,9464.62
49000.0,-451.0,874.0,983.5,9463.35
51000.0,-470.0,862.0,981.81,9449.15
53000.0,-497.0,855.0,988.96,9378.4
55000.0,-506.0,847.0,986.63,9401.91
57000.0,-527.0,837.0,989.09,9387.45
59000.0,-539.0,823.0,983.79,9422.9
61000.0,-554.0,815.0,985.46,9354.92
63000.0,-575.0,799.0,984.39,9340.12
65000.0,-598.0,791.0,991.61,9338.88
67000.0,-603.0,780.0,985.91,9376.07
69000.0,-623.0,768.0,988.92,9356.58
71000.0,-637.0,753.0,986.3,9363.23
73000.0,-653.0,744.0,989.92,9308.39
75000.0,-668.0,729.0,988.77,9319.1
77000.0,-685.0,716.0,990.9,9285.95
79000.0,-697.0,699.0,987.12,9333.23
81000.0,-715.0,688.0,992.25,9250.17
83000.0,-729.0,672.0,991.48,9251.36
85000.0,-742.0,657.0,991.07,9283.07
87000.0,-754.0,645.0,992.24,9258.93
89000.0,-765.0,628.0,989.75,9247.87
91000.0,-791.0,605.0,995.84,9236.67
93000.0,-792.0,593.0,989.4,9251.43
95000.0,-814.0,576.0,997.18,9174.78
97000.0,-822.0,565.0,997.45,9172.89
99000.0,-833.0,547.0,996.54,9156.56
