frequency,real,imaginary,magnitude,impedance
5000.0,9.0,936.0,936.04,9839.5
7000.0,-1.0,931.0,931.0,9819.99
9000.0,-64.0,945.0,947.16,9809.09
11000.0,-71.0,939.0,941.68,9744.53
13000.0,-113.0,954.0,960.67,9773.42
15000.0,-124.0,945.0,953.1,9749.1
17000.0,-150.0,951.0,962.76,9692.32
19000.0,-167.0,940.0,954.72,9666.06
21000.0,-186.0,953.0,970.98,9642.38
23000.0,-206.0,941.0,963.28,9653.67
25000.0,-226.0,946.0,972.62,9551.2
27000.0,-251.0,936.0,969.07,9594.72
29000.0,-263.0,937.0,973.21,9598.51
31000.0,-285.0,929.0,971.73,9622.15
33000.0,-302.0,924.0,972.1,9590.25
35000.0,-322.0,924.0,978.5,9502.8
37000.0,-346.0,915.0,978.23,9590.79
39000.0,-358.0,909.0,976.96,9548.97
41000.0,-377.0,904.0,979.46,9534.02
43000.0,-388.0,894.0,974.57,9632.84
45000.0,-414.0,886.0,977.95,9484.54
47000.0,-434.0,879.0,980.3,9481.94
49000.0,-455.0,871.0,982.68,9471.24
51000.0,-469.0,861.0,980.45,9462.23
53000.0,-483.0,846.0,974.17,9520.76
55000.0,-505.0,844.0,983.55,9431.43
57000.0,-527.0,837.0,989.09,9387.45
59000.0,-538.0,824.0,984.08,9420.13
61000.0,-558.0,809.0,982.77,9380.54
63000.0,-571.0,802.0,984.5,9339.06
65000.0,-598.0,795.0,994.8,9308.9
67000.0,-609.0,777.0,987.22,9363.55
69000.0,-625.0,766.0,988.63,9359.31
71000.0,-639.0,757.0,990.64,9322.16
73000.0,-654.0,743.0,989.83,9309.25
75000.0,-673.0,725.0,989.22,9314.87
77000.0,-685.0,714.0,989.45,9299.5
79000.0,-697.0,698.0,986.41,9339.93
81000.0,-715.0,689.0,992.95,9243.71
83000.0,-731.0,673.0,993.62,9231.36
85000.0,-742.0,657.0,991.07,9283.07
87000.0,-754.0,643.0,990.94,9271.07
89000.0,-767.0,623.0,988.14,9262.97
91000.0,-784.0,610.0,993.36,9259.81
93000.0,-794.0,596.0,992.8,9219.75
95000.0,-810.0,581.0,996.83,9178.06
97000.0,-817.0,560.0,990.5,9237.27
99000.0,-832.0,546.0,995.16,9169.31
