frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-14.0,22.8,44813.89
11800.0,313.0,-1301.0,1338.12,736.22
13600.0,239.0,-1829.0,1844.55,537.0
15400.0,282.0,-1794.0,1816.03,543.05
17200.0,314.0,-1793.0,1820.29,538.27
19000.0,355.0,-1802.0,1836.64,544.98
20800.0,387.0,-1788.0,1829.4,539.87
22600.0,428.0,-1782.0,1832.68,540.3
24400.0,466.0,-1770.0,1830.32,541.73
26200.0,508.0,-1765.0,1836.65,540.68
28000.0,547.0,-1753.0,1836.36,533.52
29800.0,586.0,-1742.0,1837.92,540.81
31600.0,625.0,-1730.0,1839.44,538.28
33400.0,659.0,-1718.0,1840.06,536.94
35200.0,696.0,-1710.0,1846.22,541.71
37000.0,738.0,-1696.0,1849.61,531.61
38800.0,773.0,-1681.0,1850.21,533.21
40600.0,808.0,-1667.0,1852.5,534.11
42400.0,847.0,-1656.0,1860.04,531.8
44200.0,884.0,-1631.0,1855.16,531.74
46000.0,921.0,-1614.0,1858.29,531.29
47800.0,958.0,-1598.0,1863.16,532.36
49600.0,991.0,-1579.0,1864.22,529.06
51400.0,1027.0,-1555.0,1863.53,530.11
53200.0,1053.0,-1536.0,1862.28,526.03
55000.0,1095.0,-1514.0,1868.48,525.82
56800.0,1112.0,-1494.0,1862.41,522.36
58600.0,1158.0,-1468.0,1869.76,525.93
60400.0,1194.0,-1444.0,1873.71,524.06
62200.0,1224.0,-1417.0,1872.45,523.86
64000.0,1259.0,-1391.0,1876.16,526.25
65800.0,1286.0,-1363.0,1873.92,523.01
67600.0,1317.0,-1336.0,1876.0,521.88
69400.0,1346.0,-1309.0,1877.55,522.57
71200.0,1374.0,-1278.0,1876.48,521.28
73000.0,1403.0,-1248.0,1877.74,522.72
74800.0,1432.0,-1224.0,1883.83,523.12
76600.0,1459.0,-1190.0,1882.76,520.94
78400.0,1486.0,-1157.0,1883.31,519.99
80200.0,1508.0,-1120.0,1878.42,519.61
82000.0,1533.0,-1091.0,1881.59,520.34
83800.0,1560.0,-1057.0,1884.37,520.0
85600.0,1581.0,-1022.0,1882.56,519.99
87400.0,1605.0,-989.0,1885.24,518.44
89200.0,1627.0,-950.0,1884.05,516.88
91000.0,1647.0,-922.0,1887.51,517.05
92800.0,1668.0,-881.0,1886.37,518.75
94600.0,1686.0,-845.0,1885.9,517.67
96400.0,1707.0,-809.0,1889.0,518.28
98200.0,1723.0,-771.0,1887.64,516.89
100000.0,1741.0,-733.0,1889.01,514.16
