frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,-1.0,-4.0,4.12,238935.39
13600.0,307.0,-1298.0,1333.81,742.63
15400.0,293.0,-1990.0,2011.45,490.29
17200.0,318.0,-1992.0,2017.22,485.72
19000.0,369.0,-2013.0,2046.54,489.08
20800.0,413.0,-2001.0,2043.18,483.38
22600.0,452.0,-2000.0,2050.44,482.92
24400.0,497.0,-1986.0,2047.24,484.33
26200.0,547.0,-1985.0,2058.99,482.29
28000.0,585.0,-1971.0,2055.98,476.53
29800.0,631.0,-1966.0,2064.78,481.39
31600.0,679.0,-1954.0,2068.61,478.64
33400.0,718.0,-1946.0,2074.23,476.32
35200.0,770.0,-1935.0,2082.58,480.23
37000.0,806.0,-1916.0,2078.63,473.04
38800.0,852.0,-1900.0,2082.28,473.78
40600.0,893.0,-1884.0,2084.92,474.57
42400.0,942.0,-1870.0,2093.86,472.41
44200.0,984.0,-1845.0,2091.0,471.77
46000.0,1025.0,-1826.0,2094.02,471.48
47800.0,1068.0,-1807.0,2099.02,472.54
49600.0,1108.0,-1784.0,2100.08,469.65
51400.0,1148.0,-1761.0,2102.15,469.93
53200.0,1181.0,-1740.0,2102.94,465.84
55000.0,1226.0,-1712.0,2105.71,466.58
56800.0,1263.0,-1697.0,2115.41,459.89
58600.0,1304.0,-1662.0,2112.5,465.5
60400.0,1343.0,-1633.0,2114.32,464.42
62200.0,1377.0,-1605.0,2114.75,463.84
64000.0,1420.0,-1578.0,2122.85,465.09
65800.0,1452.0,-1542.0,2118.03,462.73
67600.0,1487.0,-1514.0,2122.11,461.35
69400.0,1520.0,-1481.0,2122.21,462.33
71200.0,1552.0,-1444.0,2119.87,461.43
73000.0,1586.0,-1412.0,2123.47,462.23
74800.0,1618.0,-1383.0,2128.52,462.98
76600.0,1650.0,-1343.0,2127.47,461.02
78400.0,1678.0,-1307.0,2126.95,460.43
80200.0,1707.0,-1274.0,2130.01,458.23
82000.0,1735.0,-1232.0,2127.92,460.1
83800.0,1764.0,-1194.0,2130.1,460.01
85600.0,1790.0,-1153.0,2129.2,459.76
87400.0,1815.0,-1114.0,2129.61,458.96
89200.0,1841.0,-1072.0,2130.37,457.12
91000.0,1863.0,-1034.0,2130.71,458.03
92800.0,1888.0,-993.0,2133.21,458.73
94600.0,1909.0,-950.0,2132.32,457.84
96400.0,1931.0,-909.0,2134.25,458.72
98200.0,1951.0,-866.0,2134.56,457.1
100000.0,1972.0,-822.0,2136.46,454.61
