frequency,real,imaginary,magnitude,impedance
5000.0,1.0,1012.0,1012.0,9091.1
7000.0,-11.0,1015.0,1015.06,8986.85
9000.0,-70.0,1031.0,1033.37,8980.23
11000.0,-86.0,1018.0,1021.63,8981.99
13000.0,-129.0,1036.0,1044.0,8985.23
15000.0,-142.0,1024.0,1033.8,8919.7
17000.0,-170.0,1034.0,1047.88,8901.34
19000.0,-188.0,1018.0,1035.21,8896.93
21000.0,-216.0,1032.0,1054.36,8881.68
23000.0,-236.0,1023.0,1049.87,8855.53
25000.0,-257.0,1024.0,1055.76,8818.69
27000.0,-285.0,1013.0,1052.33,8828.21
29000.0,-301.0,1013.0,1056.77,8842.52
31000.0,-322.0,1004.0,1054.37,8826.61
33000.0,-342.0,1003.0,1059.7,8820.49
35000.0,-367.0,991.0,1056.77,8798.93
37000.0,-379.0,990.0,1060.07,8794.5
39000.0,-404.0,982.0,1061.86,8769.06
41000.0,-427.0,973.0,1062.57,8759.02
43000.0,-440.0,963.0,1058.76,8750.04
45000.0,-469.0,953.0,1062.15,8734.11
47000.0,-491.0,945.0,1064.94,8735.3
49000.0,-507.0,934.0,1062.73,8719.21
51000.0,-525.0,925.0,1063.6,8757.23
53000.0,-537.0,917.0,1062.67,8722.47
55000.0,-568.0,902.0,1065.94,8694.69
57000.0,-586.0,894.0,1068.94,8687.64
59000.0,-602.0,876.0,1062.91,8699.06
61000.0,-619.0,868.0,1066.11,8694.3
63000.0,-638.0,853.0,1065.2,8639.97
65000.0,-664.0,843.0,1073.1,8621.86
67000.0,-674.0,825.0,1065.32,8643.7
69000.0,-695.0,814.0,1070.34,8624.81
71000.0,-711.0,800.0,1070.29,8648.35
73000.0,-727.0,787.0,1071.4,8607.42
75000.0,-741.0,767.0,1066.48,8599.8
77000.0,-760.0,751.0,1068.46,8605.68
79000.0,-776.0,735.0,1068.83,8591.59
81000.0,-790.0,721.0,1069.55,8577.17
83000.0,-803.0,702.0,1066.59,8600.46
85000.0,-820.0,685.0,1068.47,8599.45
87000.0,-834.0,671.0,1070.42,8565.29
89000.0,-842.0,651.0,1064.31,8602.22
91000.0,-863.0,626.0,1066.14,8594.53
93000.0,-873.0,617.0,1069.03,8561.15
95000.0,-886.0,594.0,1066.69,8589.72
97000.0,-904.0,574.0,1070.84,8537.03
99000.0,-913.0,557.0,1069.49,8577.74
