frequency,real,imaginary,magnitude,impedance
5000.0,9.0,937.0,937.04,9829.0
7000.0,-5.0,932.0,932.01,9809.31
9000.0,-63.0,946.0,948.1,9799.46
11000.0,-70.0,941.0,943.6,9724.71
13000.0,-113.0,958.0,964.64,9733.17
15000.0,-123.0,949.0,956.94,9710.01
17000.0,-148.0,952.0,963.44,9685.49
19000.0,-165.0,943.0,957.33,9639.74
21000.0,-190.0,953.0,971.76,9634.7
23000.0,-205.0,944.0,966.0,9626.5
25000.0,-228.0,941.0,968.23,9594.54
27000.0,-248.0,939.0,971.2,9573.7
29000.0,-267.0,940.0,977.18,9559.48
31000.0,-286.0,928.0,971.07,9628.71
33000.0,-305.0,932.0,980.64,9506.77
35000.0,-325.0,916.0,971.95,9566.86
37000.0,-345.0,921.0,983.5,9539.46
39000.0,-362.0,911.0,980.29,9516.52
41000.0,-379.0,902.0,978.39,9544.47
43000.0,-389.0,892.0,973.13,9647.05
45000.0,-412.0,889.0,979.83,9466.38
47000.0,-435.0,881.0,982.54,9460.36
49000.0,-451.0,868.0,978.17,9514.9
51000.0,-469.0,862.0,981.33,9453.76
53000.0,-491.0,846.0,978.16,9481.91
55000.0,-506.0,844.0,984.06,9426.5
57000.0,-527.0,836.0,988.24,9395.48
59000.0,-538.0,824.0,984.08,9420.13
61000.0,-557.0,819.0,990.46,9307.75
63000.0,-572.0,799.0,982.64,9356.75
65000.0,-596.0,795.0,993.6,9320.15
67000.0,-607.0,778.0,986.78,9367.77
69000.0,-626.0,769.0,991.58,9331.4
71000.0,-640.0,756.0,990.52,9323.27
73000.0,-655.0,741.0,988.99,9317.14
75000.0,-667.0,726.0,985.88,9346.39
77000.0,-685.0,717.0,991.62,9279.18
79000.0,-701.0,698.0,989.24,9313.21
81000.0,-717.0,684.0,990.93,9262.52
83000.0,-732.0,670.0,992.33,9243.37
85000.0,-743.0,656.0,991.15,9282.25
87000.0,-754.0,643.0,990.94,9271.07
89000.0,-769.0,629.0,993.48,9213.17
91000.0,-788.0,603.0,992.25,9270.16
93000.0,-792.0,598.0,992.41,9223.42
95000.0,-810.0,576.0,993.92,9204.89
97000.0,-816.0,565.0,992.51,9218.54
99000.0,-834.0,545.0,996.28,9158.95
