frequency,real,imaginary,magnitude,impedance
10000.0,51.0,-257.0,262.01,421.56
11800.0,-53.0,-233.0,238.95,410.21
13600.0,14.0,-247.0,247.4,406.23
15400.0,6.0,-255.0,255.07,373.83
17200.0,18.0,-263.0,263.62,349.32
19000.0,19.0,-261.0,261.69,447.47
20800.0,27.0,-256.0,257.42,392.26
22600.0,28.0,-266.0,267.47,382.52
24400.0,33.0,-269.0,271.02,396.72
26200.0,46.0,-267.0,270.93,392.35
28000.0,53.0,-263.0,268.29,361.61
29800.0,54.0,-273.0,278.29,371.29
31600.0,67.0,-265.0,273.34,386.97
33400.0,72.0,-268.0,277.5,374.22
35200.0,81.0,-268.0,279.97,384.69
37000.0,84.0,-260.0,273.23,398.24
38800.0,94.0,-263.0,279.29,376.34
40600.0,100.0,-259.0,277.63,369.29
42400.0,109.0,-263.0,284.69,370.94
44200.0,116.0,-257.0,281.97,368.02
46000.0,126.0,-256.0,285.33,376.49
47800.0,129.0,-253.0,283.99,385.28
49600.0,133.0,-251.0,284.06,375.54
51400.0,142.0,-248.0,285.78,363.72
53200.0,142.0,-240.0,278.86,381.74
55000.0,149.0,-240.0,282.49,373.09
56800.0,164.0,-250.0,298.99,280.07
58600.0,159.0,-236.0,284.56,374.28
60400.0,172.0,-229.0,286.4,378.51
62200.0,173.0,-226.0,284.61,366.82
64000.0,180.0,-224.0,287.36,379.75
65800.0,185.0,-220.0,287.45,366.2
67600.0,191.0,-212.0,285.35,381.91
69400.0,198.0,-211.0,289.35,366.86
71200.0,201.0,-209.0,289.97,366.08
73000.0,207.0,-200.0,287.84,363.72
74800.0,212.0,-199.0,290.77,379.5
76600.0,215.0,-194.0,289.59,367.08
78400.0,220.0,-187.0,288.74,363.64
80200.0,230.0,-183.0,293.92,324.13
82000.0,229.0,-177.0,289.43,370.39
83800.0,234.0,-172.0,290.41,357.12
85600.0,240.0,-170.0,294.11,350.99
87400.0,240.0,-160.0,288.44,361.62
89200.0,242.0,-155.0,287.38,370.61
91000.0,245.0,-154.0,289.38,364.93
92800.0,253.0,-145.0,291.61,362.4
94600.0,254.0,-138.0,289.07,362.23
96400.0,259.0,-136.0,292.54,354.72
98200.0,262.0,-128.0,291.6,355.87
100000.0,266.0,-120.0,291.82,368.12
