frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,1.0,-3.0,3.16,311533.63
13600.0,138.0,-403.0,425.97,2325.32
15400.0,320.0,-1955.0,1981.02,497.82
17200.0,318.0,-1967.0,1992.54,491.74
19000.0,354.0,-1983.0,2014.35,496.9
20800.0,399.0,-1969.0,2009.02,491.6
22600.0,441.0,-1967.0,2015.83,491.21
24400.0,484.0,-1965.0,2023.73,489.96
26200.0,529.0,-1962.0,2032.06,488.68
28000.0,575.0,-1947.0,2030.13,482.6
29800.0,616.0,-1947.0,2042.12,486.73
31600.0,657.0,-1937.0,2045.39,484.08
33400.0,703.0,-1921.0,2045.59,482.99
35200.0,748.0,-1915.0,2055.9,486.46
37000.0,791.0,-1895.0,2053.46,478.84
38800.0,831.0,-1883.0,2058.22,479.32
40600.0,873.0,-1866.0,2060.12,480.28
42400.0,917.0,-1852.0,2066.59,478.64
44200.0,959.0,-1831.0,2066.94,477.26
46000.0,1001.0,-1814.0,2071.86,476.52
47800.0,1040.0,-1796.0,2075.38,477.93
49600.0,1080.0,-1776.0,2078.6,474.5
51400.0,1122.0,-1752.0,2080.48,474.83
53200.0,1162.0,-1736.0,2089.0,468.94
55000.0,1202.0,-1706.0,2086.92,470.78
56800.0,1233.0,-1665.0,2071.84,469.56
58600.0,1280.0,-1658.0,2094.6,469.47
60400.0,1316.0,-1626.0,2091.82,469.42
62200.0,1350.0,-1601.0,2094.21,468.39
64000.0,1390.0,-1576.0,2101.4,469.84
65800.0,1424.0,-1543.0,2099.67,466.78
67600.0,1459.0,-1509.0,2098.99,466.44
69400.0,1493.0,-1481.0,2102.95,466.56
71200.0,1527.0,-1448.0,2104.38,464.82
73000.0,1561.0,-1415.0,2106.88,465.87
74800.0,1591.0,-1385.0,2109.39,467.18
76600.0,1625.0,-1348.0,2111.33,464.55
78400.0,1655.0,-1312.0,2111.96,463.7
80200.0,1683.0,-1270.0,2108.41,462.93
82000.0,1713.0,-1237.0,2112.95,463.36
83800.0,1743.0,-1201.0,2116.71,462.93
85600.0,1770.0,-1166.0,2119.54,461.85
87400.0,1795.0,-1123.0,2117.35,461.61
89200.0,1819.0,-1084.0,2117.5,459.89
91000.0,1840.0,-1045.0,2116.04,461.21
92800.0,1868.0,-1001.0,2119.3,461.74
94600.0,1890.0,-961.0,2120.29,460.44
96400.0,1911.0,-919.0,2120.49,461.7
98200.0,1933.0,-879.0,2123.47,459.48
100000.0,1953.0,-836.0,2124.41,457.19
