frequency,real,imaginary,magnitude,impedance
10000.0,17.0,-13.0,21.4,47750.9
11800.0,0.0,-2.0,2.0,492577.91
13600.0,356.0,-1664.0,1701.66,582.09
15400.0,292.0,-1888.0,1910.45,516.21
17200.0,323.0,-1870.0,1897.69,516.31
19000.0,368.0,-1902.0,1937.27,516.67
20800.0,405.0,-1888.0,1930.95,511.48
22600.0,442.0,-1881.0,1932.23,512.47
24400.0,483.0,-1865.0,1926.53,514.68
26200.0,528.0,-1868.0,1941.19,511.56
28000.0,567.0,-1854.0,1938.76,505.34
29800.0,611.0,-1850.0,1948.29,510.17
31600.0,649.0,-1834.0,1945.45,508.95
33400.0,693.0,-1822.0,1949.34,506.84
35200.0,733.0,-1811.0,1953.72,511.9
37000.0,773.0,-1794.0,1953.45,503.35
38800.0,811.0,-1781.0,1956.96,504.13
40600.0,848.0,-1766.0,1959.05,505.06
42400.0,890.0,-1752.0,1965.1,503.37
44200.0,930.0,-1731.0,1965.01,502.02
46000.0,969.0,-1713.0,1968.08,501.65
47800.0,1005.0,-1694.0,1969.69,503.57
49600.0,1043.0,-1672.0,1970.64,500.49
51400.0,1081.0,-1653.0,1975.09,500.17
53200.0,1113.0,-1634.0,1977.05,495.5
55000.0,1156.0,-1607.0,1979.59,496.31
56800.0,1176.0,-1583.0,1972.02,493.33
58600.0,1227.0,-1561.0,1985.51,495.27
60400.0,1260.0,-1531.0,1982.82,495.22
62200.0,1293.0,-1504.0,1983.4,494.56
64000.0,1327.0,-1476.0,1984.82,497.44
65800.0,1362.0,-1448.0,1987.9,493.02
67600.0,1391.0,-1418.0,1986.35,492.88
69400.0,1425.0,-1388.0,1989.26,493.23
71200.0,1456.0,-1360.0,1992.37,490.96
73000.0,1486.0,-1326.0,1991.6,492.84
74800.0,1512.0,-1297.0,1992.07,494.7
76600.0,1545.0,-1259.0,1993.01,492.12
78400.0,1574.0,-1229.0,1996.98,490.39
80200.0,1597.0,-1188.0,1990.42,490.37
82000.0,1627.0,-1158.0,1997.02,490.26
83800.0,1653.0,-1123.0,1998.38,490.34
85600.0,1680.0,-1086.0,2000.45,489.35
87400.0,1700.0,-1047.0,1996.55,489.54
89200.0,1726.0,-1012.0,2000.8,486.72
91000.0,1744.0,-974.0,1997.55,488.57
92800.0,1769.0,-936.0,2001.36,488.95
94600.0,1788.0,-897.0,2000.39,488.04
96400.0,1809.0,-857.0,2001.73,489.09
98200.0,1828.0,-817.0,2002.27,487.3
100000.0,1845.0,-778.0,2002.33,485.06
